Easting	Northing
316905.64	6088813.54
317011.43	6088745.23
316832.14	6088782.86
316897.64	6088759.56
316876.22	6088954.32
317026.57	6088917.76
317012.44	6088784.86
316825.44	6088745.77
316881.99	6088836.03
316915.62	6088836.94
316939.32	6088825.54
316845.35	6088925.17
316866.81	6088808.76
317008.03	6088706.87
316866.76	6088811.53
316875.33	6088917.46
316917.72	6088925.87
316915.92	6088853.59
316937	6088746.93
316989.13	6088898.36
316988.39	6088872.26
317025.47	6088868.58
317012.37	6088775.1
317020.36	6088860.71
317020.75	6088877.36
316823.12	6088748.05
316882.5	6088953.89
316904.35	6088765.24
317011.1	6088824.23
316794.86	6088724.62
316810.03	6088850.88
316828.39	6088721.53
316825.95	6088761.09
316842.79	6088961.41
316858.6	6088720.7
316974.81	6088819.94
316880.02	6088856.74
316919.56	6088898.16
316983.39	6088912.22
316803.86	6088854.19
316864.83	6088740.58
317019.58	6088881.22
316847.11	6088905.45
316901.57	6088758.53
316916.93	6088898
316935.99	6088707.51
316974.36	6088797.18
316797.09	6088829.64
316810.56	6088873.75
316825.17	6088737
316946.26	6088864.3
316975.7	6088758.26
316844.2	6088874.43
316897.6	6088748.46
316939.44	6088828.65
316984.14	6088866.18
316822.93	6088735.29
316812.71	6088955.58
316825.68	6088756.65
316969.22	6088741.48
317013.64	6088824.28
317028.36	6088950.53
316825.81	6088758.87
